Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
isPrime,5686,523,1,697,67.71,0.00%,94.1,15.90,173.0
TOTAL,5686,523,1,697,67.71,0.00%,94.1,15.90,173.0
