Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
isPrime,30109,96,1,163,15.25,0.00%,501.1,84.67,173.0
TOTAL,30109,96,1,163,15.25,0.00%,501.1,84.67,173.0
